Model_Name,Pooling_Type,Test_Accuracy,F1_Score,Test_Loss,Training_Time_seconds
max_pooling,Max,0.7155,0.7133,0.8821,308.55
average_pooling,Average,0.6989,0.6984,0.8597,291.61
